iter	Passed	Remaining
735	5309	5663
736	5317	5656
737	5324	5649
738	5330	5640
739	5337	5633
740	5343	5624
741	5350	5617
742	5357	5609
743	5364	5602
744	5377	5601
745	5382	5591
746	5399	5594
747	5406	5586
748	5413	5579
749	5420	5572
750	5428	5565
751	5435	5558
752	5444	5553
753	5453	5547
754	5460	5540
755	5467	5532
756	5474	5524
757	5480	5517
758	5487	5509
759	5494	5501
760	5501	5494
761	5507	5486
762	5514	5477
763	5521	5470
764	5530	5465
765	5544	5464
766	5555	5461
767	5567	5459
768	5582	5458
769	5591	5453
770	5603	5451
771	5613	5446
772	5625	5443
773	5640	5443
774	5647	5436
775	5655	5429
776	5663	5422
777	5675	5419
778	5682	5412
779	5694	5410
780	5707	5407
781	5732	5416
782	5758	5427
783	5773	5427
784	5794	5432
785	5809	5432
786	5823	5431
787	5850	5441
788	5863	5440
789	5894	5453
790	5913	5457
791	5921	5450
792	5944	5457
793	5954	5451
794	5969	5451
795	5981	5448
796	5992	5443
797	6008	5443
798	6016	5436
799	6026	5431
800	6037	5426
801	6043	5418
802	6049	5409
803	6059	5403
804	6069	5398
805	6076	5390
806	6086	5385
807	6093	5377
808	6100	5368
809	6109	5362
810	6121	5359
811	6134	5356
812	6147	5353
813	6160	5350
814	6170	5345
815	6182	5341
816	6192	5335
817	6201	5329
818	6211	5324
819	6221	5318
820	6233	5314
821	6240	5306
822	6247	5298
823	6256	5292
824	6264	5285
825	6271	5276
826	6277	5268
827	6285	5261
828	6293	5253
829	6308	5252
830	6315	5243
831	6322	5235
832	6329	5227
833	6336	5219
834	6343	5211
835	6350	5203
836	6360	5197
837	6366	5188
838	6375	5182
839	6384	5175
840	6391	5167
841	6397	5158
842	6403	5150
843	6411	5142
844	6416	5133
845	6422	5124
846	6428	5115
847	6435	5107
848	6444	5100
849	6450	5092
850	6452	5079
851	6459	5071
852	6467	5064
853	6474	5056
854	6481	5048
855	6487	5039
856	6495	5032
857	6502	5024
858	6508	5016
859	6515	5008
860	6523	5000
861	6529	4991
862	6536	4983
863	6544	4976
864	6552	4969
865	6560	4961
866	6566	4953
867	6572	4944
868	6579	4936
869	6588	4930
870	6596	4922
871	6604	4915
872	6615	4910
873	6622	4902
874	6630	4894
875	6637	4887
876	6646	4881
877	6657	4875
878	6666	4868
879	6675	4862
880	6683	4854
881	6689	4846
882	6696	4838
883	6704	4831
884	6712	4824
885	6722	4817
886	6734	4813
887	6746	4809
888	6758	4804
889	6767	4798
890	6799	4807
891	6812	4804
892	6820	4796
893	6828	4788
894	6835	4781
895	6849	4778
896	6864	4775
897	6876	4770
898	6887	4765
899	6897	4759
900	6909	4754
901	6918	4747
902	6926	4740
903	6934	4733
904	6944	4726
905	6956	4722
906	6967	4717
907	6980	4712
908	6995	4709
909	7005	4704
910	7017	4699
911	7029	4693
912	7036	4686
913	7050	4682
914	7060	4676
915	7068	4668
916	7081	4664
917	7091	4657
918	7099	4650
919	7114	4647
920	7123	4640
921	7133	4634
922	7148	4631
923	7159	4625
924	7168	4618
925	7179	4612
926	7190	4607
927	7200	4601
928	7208	4593
929	7216	4585
930	7222	4577
931	7231	4570
932	7240	4562
933	7246	4554
934	7254	4546
935	7261	4538
936	7271	4531
937	7276	4522
938	7285	4515
939	7292	4507
940	7300	4499
941	7307	4491
942	7315	4483
943	7324	4476
944	7332	4469
945	7339	4460
946	7351	4455
947	7358	4447
948	7365	4439
949	7372	4431
950	7379	4422
951	7385	4414
952	7393	4406
953	7402	4399
954	7409	4391
955	7416	4383
956	7424	4375
957	7431	4367
958	7440	4360
959	7448	4352
960	7454	4344
961	7461	4335
962	7468	4327
963	7477	4320
964	7485	4312
965	7492	4304
966	7501	4297
967	7509	4289
968	7514	4280
969	7522	4272
970	7529	4264
971	7536	4256
972	7546	4250
973	7551	4240
974	7558	4232
975	7565	4224
976	7571	4215
977	7579	4208
978	7588	4200
979	7596	4193
980	7604	4186
981	7615	4179
982	7623	4172
983	7630	4164
984	7638	4156
985	7646	4148
986	7656	4142
987	7664	4134
988	7672	4127
989	7680	4119
990	7687	4111
991	7693	4102
992	7701	4095
993	7709	4087
994	7717	4079
995	7725	4072
996	7734	4064
997	7741	4057
998	7750	4049
999	7759	4042
1000	7768	4035
1001	7775	4027
1002	7782	4019
1003	7788	4010
1004	7795	4002
1005	7801	3993
1006	7808	3985
1007	7815	3977
1008	7822	3969
1009	7831	3962
1010	7838	3954
1011	7847	3946
1012	7854	3938
1013	7863	3931
1014	7873	3925
1015	7881	3917
1016	7887	3909
1017	7895	3901
1018	7902	3892
1019	7909	3884
1020	7916	3876
1021	7927	3870
1022	7933	3861
1023	7939	3853
1024	7946	3845
1025	7953	3837
1026	7960	3829
1027	7967	3821
1028	7975	3813
1029	7984	3806
1030	7991	3798
1031	7999	3790
1032	8005	3781
1033	8012	3773
1034	8019	3765
1035	8027	3757
1036	8034	3750
1037	8042	3742
1038	8051	3735
1039	8059	3727
1040	8066	3719
1041	8074	3711
1042	8080	3703
1043	8090	3696
1044	8098	3689
1045	8108	3682
1046	8121	3676
1047	8134	3671
1048	8146	3665
1049	8161	3660
1050	8170	3653
1051	8185	3649
1052	8198	3643
1053	8214	3639
1054	8220	3630
1055	8231	3624
1056	8241	3617
1057	8250	3610
1058	8264	3605
1059	8274	3598
1060	8284	3591
1061	8293	3584
1062	8300	3576
1063	8307	3568
1064	8315	3560
1065	8322	3552
1066	8332	3545
1067	8338	3537
1068	8346	3529
1069	8355	3521
1070	8364	3514
1071	8371	3506
1072	8379	3498
1073	8387	3491
1074	8395	3483
1075	8403	3475
1076	8409	3466
1077	8416	3458
1078	8422	3450
1079	8429	3442
1080	8436	3433
1081	8442	3425
1082	8450	3417
1083	8455	3408
1084	8463	3400
1085	8471	3393
1086	8478	3385
1087	8486	3377
1088	8494	3369
1089	8502	3362
1090	8510	3354
1091	8518	3346
1092	8525	3338
1093	8531	3330
1094	8538	3321
1095	8548	3314
1096	8555	3306
1097	8563	3298
1098	8569	3290
1099	8576	3282
1100	8580	3273
1101	8587	3265
1102	8593	3256
1103	8603	3249
1104	8609	3241
1105	8615	3232
1106	8622	3224
1107	8631	3217
1108	8639	3209
1109	8649	3202
1110	8660	3195
1111	8668	3188
1112	8679	3181
1113	8686	3173
1114	8692	3165
1115	8701	3157
1116	8715	3152
1117	8727	3146
1118	8741	3140
1119	8750	3132
1120	8762	3126
1121	8776	3121
1122	8793	3116
1123	8806	3110
1124	8815	3102
1125	8826	3096
1126	8838	3090
1127	8851	3083
1128	8861	3076
1129	8876	3071
1130	8887	3064
1131	8897	3057
1132	8906	3049
1133	8913	3041
1134	8921	3033
1135	8928	3026
1136	8935	3017
1137	8941	3009
1138	8948	3001
1139	8957	2993
1140	8964	2985
1141	8973	2978
1142	8982	2970
1143	8990	2962
1144	8998	2954
1145	9005	2946
1146	9013	2938
1147	9019	2930
1148	9025	2922
1149	9033	2914
1150	9042	2906
1151	9050	2899
1152	9057	2890
1153	9066	2883
1154	9073	2875
1155	9081	2867
1156	9089	2859
1157	9099	2852
1158	9109	2845
1159	9118	2837
1160	9128	2830
1161	9140	2823
1162	9157	2818
1163	9168	2811
1164	9178	2804
1165	9188	2797
1166	9204	2792
1167	9214	2784
1168	9223	2777
1169	9236	2771
1170	9245	2763
1171	9252	2755
1172	9260	2747
1173	9268	2739
1174	9277	2731
1175	9287	2724
1176	9297	2717
1177	9310	2710
1178	9320	2703
1179	9337	2698
1180	9355	2693
1181	9373	2688
1182	9387	2682
1183	9398	2675
1184	9406	2667
1185	9418	2660
1186	9433	2654
1187	9444	2647
